DEPTO,NOMDEPTO,CODLOC,NOMLOC,NOMBRE,DIRECCION,x,y
"10",MALDONADO,"10956",PUNTA BALLENA,PORTEZUELO,Ruta Interbalnearia Km. 117.500,677548.518759793,6138783.32649138
"11",PAYSANDU,"11120",PAYSANDU,DOROTTE NORTE,Dr. Roldán esq. Andresito,398259.146869675,6425577.4337005
"11",PAYSANDU,"11120",PAYSANDU,FERROCARRIL,Cerrito 1305 e/ P.Larrañaga,398714.612395388,6424557.17952499
"11",PAYSANDU,"11120",PAYSANDU,HEINZEN,18 de Julio 878,397649.896111539,6423953.37035931
"11",PAYSANDU,"11120",PAYSANDU,INGLESA II,Leandro Gómez 1013,397759.407917204,6423829.02020552
"16",SAN JOSE,"16220",SAN JOSE DE MAYO,SENAQUE ,Ciganda y Oribe (Plaza Independencia),526865.909299995,6200083.79196381
"16",SAN JOSE,"16220",SAN JOSE DE MAYO,TERMINAL,Artigas 779 e/ Ansina,526135.134029171,6200629.00580128
"16",SAN JOSE,"16421",LIBERTAD,BIDEGAIN,25 de Agosto 980,534924.657488923,6167467.65305243
"16",SAN JOSE,"16421",LIBERTAD,PRINCIPAL,25 de Agosto 1105 bis,534744.568835558,6167245.3248316
"16",SAN JOSE,"16421",LIBERTAD,LIBERFARMA,Rivas Costas 1071,534727.205693352,6167113.80922383
"16",SAN JOSE,"16621",RODRIGUEZ,BRICCOLA,Santiago Rodríguez 915,542337.957064786,6195393.73203342
"16",SAN JOSE,"16824",PLAYA PASCUAL,DANJOVI,Av. Río de la Plata Parada 5 y 1/2,550238.73617816,6155343.75871563
"16",SAN JOSE,"16929",ECILDA PAULLIER,DARIEL,Av. Artigas s/n,495805.418072803,6198191.36602189
"16",SAN JOSE,"16929",ECILDA PAULLIER,MARINE,César Rodríguez Bonavita,495724.644338271,6198276.47359415
"16",SAN JOSE,"16521",DELTA DEL TIGRE Y VILLAS,DEL 26,Ruta 1 Km 26.600 M. 192 S.3,555209.089216976,6152882.11742353
"16",SAN JOSE,"16826",RAFAEL PERAZA,EL MAGO,Ruta 1 Km. 72 - Artigas 519,518607.912902144,6179617.91866418
"16",SAN JOSE,"16932",KIYU-ORDEIG,KIYU,Luz Marina s/n,523820.211594314,6160398.74663737
"16",SAN JOSE,"16826",RAFAEL PERAZA,RAPETTI,San José 649,518450.540746344,6179592.07831691
"17",SORIANO,"17798",AGRACIADA,AGRACIADA,Treinta y Tres y 19 de Abril,382715.646745624,6258275.54461998
"17",SORIANO,"17321",DOLORES,ASENCIO,Av. Asencio 1549,386866.681053592,6289396.71413303
"17",SORIANO,"17321",DOLORES,DOLORES,Asencio 2199 e/ Alberto Saavedra,387546.871001588,6288248.80001608
"17",SORIANO,"17321",DOLORES,VALENTINA,Puig 1848,387265.281720997,6288921.7151248
"17",SORIANO,"17220",MERCEDES,BELLINI,Fregeiro 738,404276.407631532,6319652.2099532
"17",SORIANO,"17220",MERCEDES,FERNANDEZ GENOLET ,F.D.Roosevelt 706 e/ Colón,404036.164662792,6320557.5759581
"17",SORIANO,"17220",MERCEDES,MONTAÑO,Lavalleja 402 e/ Florencio Sánchez,404813.020963715,6320508.05917534
"17",SORIANO,"17321",DOLORES,FARMASHOP 112 GO-BA,Av. Grito de Asencio 1751,387094.236619296,6289026.06028702
"17",SORIANO,"17220",MERCEDES,SAN ROQUE 32,Colón 278 e/ Careaga y Roosevelt,403992.757431376,6320607.90922268
"17",SORIANO,"17621",JOSE ENRIQUE RODO,DRABBLE,José Enrique Rodó,450657.951100609,6271141.05360796
"17",SORIANO,"17621",JOSE ENRIQUE RODO,ESCANDA,Ruta 2 Km. 209.500,450396.201519728,6271266.20417198
"17",SORIANO,"17622",PALMITAS,POLY,,425365.172212411,6291919.07401974
"17",SORIANO,"17823",RISSO,RISSO,Calle 7 esquina 8,446994.651277125,6279322.22363741
"17",SORIANO,"17521",CARDONA,SORIA,Bvar. Cardona 1379 e/ Barboza,465885.560906438,6251842.88168869
"17",SORIANO,"17622",PALMITAS,ZAFIRO,Bvar Rodó e/ Zorrilla de San Martín,425691.559931108,6292152.9303056
"17",SORIANO,"17521",CARDONA,SINERGIA,Joaquin Suarez y Barboza,465894.452249878,6252198.21583393
"18",TACUAREMBO,"18321",PASO DE LOS TOROS,BENGOECHEA - PASO DE LOS TOROS,Leandro Gómez 521,545889.0137423,6369410.93241362
"18",TACUAREMBO,"18321",PASO DE LOS TOROS,BERO,Bvar. Artigas 358,546219.224505428,6369332.29920169
"18",TACUAREMBO,"18321",PASO DE LOS TOROS,DEMILTON,Angela B. de López 525,544914.578018135,6369897.32481697
"18",TACUAREMBO,"18521",SAN GREGORIO DE POLANCO,CINA CINA,Yamandú Gamba 94,609213.541153086,6390476.9723848
"18",TACUAREMBO,"18521",SAN GREGORIO DE POLANCO,ESPONDA,Gral Artigas 163,609378.540389516,6390824.81680592
"18",TACUAREMBO,"18828",LAS TOSCAS,CLAVIJO,Ruta 26 - Las Toscas,687531.101857259,6437517.18632249
"18",TACUAREMBO,"18828",LAS TOSCAS,RUTA 26,Ruta 26 Km. 348,687683.019773998,6437894.70243699
"18",TACUAREMBO,"18220",TACUAREMBO,BRISAN,María Olimpia y 18 de Julio ,596157.007283534,6490405.21182275
"18",TACUAREMBO,"18220",TACUAREMBO,DEL PARQUE,18 Julio 126,596895.238498148,6491181.70991196
"18",TACUAREMBO,"18220",TACUAREMBO,DEL PUEBLO - TACUAREMBO,25 de Mayo 187,596671.943252093,6491116.62912944
"18",TACUAREMBO,"18220",TACUAREMBO,HIARDIE,Pablo Rios 149,597357.446900108,6489503.25626086
"18",TACUAREMBO,"18220",TACUAREMBO,LA 16,Catalogne 323,596333.153779146,6490102.59795978
"18",TACUAREMBO,"18220",TACUAREMBO,LICANDRO,César Ortiz y Ayala 151 e/ Dr.Ferreira,596083.982827817,6490747.69054696
"18",TACUAREMBO,"18220",TACUAREMBO,NUEVA - TACUAREMBO,18 de Julio 275 e/ 25 de Agosto,596485.531036644,6490784.42474707
"18",TACUAREMBO,"18220",TACUAREMBO,POPULAR,25 de Mayo 267,596427.821375211,6490865.39741499
"18",TACUAREMBO,"18220",TACUAREMBO,RINIHUE,Ituzaingó 226 e/ 18 de Julio,596638.517321312,6490907.74476568
"18",TACUAREMBO,"18220",TACUAREMBO,SANDU,25 de Mayo 250,596493.520991753,6490905.26220594
"18",TACUAREMBO,"18220",TACUAREMBO,SANTA CRUZ,25 de Mayo 457 bis,595907.983358364,6490313.48544543
"18",TACUAREMBO,"18722",ANSINA,LA RUTA,Villa Ansina,645372.731155941,6471947.47591072
"19",TREINTA Y TRES,"19220",TREINTA Y TRES,ESPAÑA,José E.Rodó 1452 esq. L.Macedo,744319.550890575,6320154.85106163
"19",TREINTA Y TRES,"19220",TREINTA Y TRES,OLIMAR I,Pablo Zufriategui 449,743914.056589382,6319961.4694623
"19",TREINTA Y TRES,"19220",TREINTA Y TRES,SANFER I,Juan A. Lavalleja 1265,743450.67729332,6320594.60134142
"19",TREINTA Y TRES,"19521",SANTA CLARA DE OLIMAR,JAQUE MATE,Rúben Artigas s/n,692019.600817493,6355318.54825915
"19",TREINTA Y TRES,"19790",CERRO CHATO,LUDOMAR (EX HOLINA),Av. Centenario s/n,674429.478619048,6335670.79748542
"19",TREINTA Y TRES,"19522",VERGARA,VERGARA,Marcelo Barreto 1155,786262.86620729,6351429.39242746
"18",TACUAREMBO,"18220",TACUAREMBO,SAN ROQUE 53,25 de mayo 321,596285.967503523,6490719.98656236
"18",TACUAREMBO,"18220",TACUAREMBO,SAN ROQUE 50,25 de Mayo 208,596598.380578206,6491017.69148009
"17",SORIANO,"17220",MERCEDES,SAN ROQUE 23 - MERCEDES SHOPPING,Don Bosco casi Artigas (Shopping),404254.855582493,6319697.40511696
"18",TACUAREMBO,"18220",TACUAREMBO,FARMASHOP 41,25 de Mayo 293,596353.561703223,6490787.22731476
"03",CANELONES,"03828",EL PINAR,ATENEA 6,,599862.637565489,6148272.8319582
"03",CANELONES,"03730",SAN ANTONIO,ACOSTA,Durante y Montevideo s/n,584371.774215203,6187268.75614607
"03",CANELONES,"03525",PASO CARRASCO,AEROPUERTO,Av. Del Lago 2 y Carrá,586634.673130798,6141925.07351552
"03",CANELONES,"03525",PASO CARRASCO,LUNA,Garibaldi 21,587500.842131097,6142671.8551816
"03",CANELONES,"03526",SANTA ROSA,AL MAR,Av. Tomás Berreta s/n,588424.062143109,6182235.77685117
"03",CANELONES,"03526",SANTA ROSA,SANTA ROSA,Av. Tomás Berreta ,588213.367930065,6182090.63551211
"03",CANELONES,"03322",PANDO,AREVALO I,Treinta y Tres 1055,595362.539625559,6157337.53007517
"03",CANELONES,"03322",PANDO,AREVALO III,Francisco Menezes 1057,595482.029877308,6157549.4121522
"03",CANELONES,"03322",PANDO,AREVALO II,25 de Agosto 928,595478.75498594,6157820.09441173
"03",CANELONES,"03322",PANDO,SAN ROQUE BOSCA,Wilson Ferreira 1047 ,595141.081333112,6157574.14779571
"03",CANELONES,"03322",PANDO,FARMASUR,Piovene 1031,595208.975976929,6157671.36773375
"03",CANELONES,"03421",PROGRESO,ARRECHEA,Av. Artigas y Palmar,571752.767299439,6163469.12932171
"03",CANELONES,"03953",LOMAS DE SOLYMAR,ATENEA 1,Giannattasio Km 27200,597727.082064643,6147770.11238331
"03",CANELONES,"03953",LOMAS DE SOLYMAR,ATENEA 2,,598106.121541679,6148027.09081843
"03",CANELONES,"03939",EL BOSQUE,ATENEA 5,,593523.693488403,6145022.10420074
"03",CANELONES,"03633",SAN JOSE DE CARRASCO,ATENEA 3,,591730.378564485,6144228.78224017
"03",CANELONES,"03727",PARQUE CARRASCO,PIGALLE - DE LA COSTA,Calcagno M.40 S.8,591456.283441137,6143117.62654956
"03",CANELONES,"03633",SAN JOSE DE CARRASCO,SAN ROQUE 03 - COSTA URBANA,Av. Giannattasio Km. 21,592001.391103697,6144153.62973366
"03",CANELONES,"03835",SHANGRILA,ATENEA 4,,592260.550674121,6142658.92213388
"03",CANELONES,"03221",LAS PIEDRAS,AVENIDA,Gral. Flores 685 e/ Cabrera y Garibaldi,571496.285796394,6156832.76531888
"03",CANELONES,"03521",BARROS BLANCOS,BARROS BLANCOS,Ruta 8 Km.25,590533.519432225,6153286.77981174
"03",CANELONES,"03521",BARROS BLANCOS,YALALE I,,591710.858103474,6154138.0026823
"03",CANELONES,"03621",ATLANTIDA,FARMACITY,Blvd Artigas esquina 22,613358.315308411,6151586.24837629
"15",SALTO,"15120",SALTO,ALBISU,Uruguay 554,407898.953005601,6527071.7286625
"15",SALTO,"15120",SALTO,CALERO,Uruguay 1099,408600.124077875,6527013.67775609
"15",SALTO,"15120",SALTO,CHIAZZARO,Uruguay 666,408048.492078257,6527053.81410902
"15",SALTO,"15120",SALTO,SAN ROQUE 33,Uruguay 839,408274.280306223,6527050.64848543
"15",SALTO,"15120",SALTO,VANT´HOFF,Av. Uruguay 1799,409492.371346356,6526916.88219515
"15",SALTO,"15120",SALTO,SAN ROQUE 19,B. y Ordoñez 2265 loc.117 (Shopping),410193.953202232,6527405.80527647
"15",SALTO,"15120",SALTO,NUEVA REPUBLICA,Av. Solari 1702,407773.290556748,6525148.71929851
"15",SALTO,"15120",SALTO,SAN ROQUE 46,Dr. Fco. Soca 220,408394.949775534,6527303.29002987
"15",SALTO,"15120",SALTO,SAN ROQUE 47,Grito de Asencio 1499,408340.547568757,6528649.69093352
